text,label
"Приложение невероятно удобное и функциональное",5
"Совсем не понравилось, работает ужасно",1
"В целом нормально, но есть недочёты",3
"Очень круто, превзошло ожидания",5
"Отвратительный интерфейс, невозможно пользоваться",1
"Среднее качество, могло быть лучше",3
"Мне понравилось, рекомендую",5
"Не работает как нужно, сплошные ошибки",1
"Обычный продукт, ничем не удивил",3
"Сервис хороший, быстро и удобно",4
"Плохое качество, возвращаю деньги",1
"Функции работают, но медленно",3
"Все замечательно, никаких проблем",5
"Разочарован, ожидал большего",2
"Нормально, но могло быть и лучше",3
"Приложение супер, пользуюсь каждый день",5
"Очень медленно, невозможно ждать",1
"Иногда глючит, но в целом норм",3
"Отличный сервис, советую всем",5
"Не понял, зачем оно вообще нужно",2
"Хорошо работает, доволен",4
"Реально плохой опыт, не рекомендую",1
"Удобно, быстро, качественно",5
"Есть проблемы, но терпимо",3
"Все ужасно, просто беда",1
"Достаточно хороший продукт",4
"Не впечатлило, но работает",3
"Все отлично!",5
"Очень раздражает реклама",2
"Хороший интерфейс, приятный дизайн",4
"Ничего особенного, просто норм",3
"Постоянные баги, невозможно пользоваться",1
"Мой любимый сервис!",5
"Иногда тормозит, но не критично",3
"Все работает стабильно",4
"Полная ерунда",1
"Отличное качество за свою цену",5
"Пойдет, но не супер",3
"Функции ограничены, неудобно",2
"Хорошо продуманный интерфейс",4
"Очень нестабильно, вылетает",1
"Приятно пользоваться, классно сделано",5
"Ожидал больше возможностей",3
"Подходит для простых задач",4
"Сплошные проблемы и ошибки",1
"Невероятно быстро, супер",5
"Нормально, если не придираться",3
"Скучный дизайн",2
"Хорошая скорость работы",4
"Отличный функционал",5
"Проблемы на каждом шагу",1
"Может быть полезно",3
"Пользоваться приятно",4
"Не тянет даже базовые вещи",1
"Все работает идеально",5
"Медленно загружается",2
"Поддержка отвечает быстро",4
"Инструкция запутанная",2
"Интуитивно и удобно",5
"Часто зависает",1
"В целом ок",3
"Мне всё понравилось",5
"Очень плохая оптимизация",1
"Неудобно и непонятно",2
"Качественный продукт",4
"Пользуюсь давно, все нравится",5
"Постоянные проблемы со входом",1
"Выглядит красиво",4
"Все зависит от задачи",3
"Совсем не работает",1
"Приятный опыт",5
"Не хватает некоторых функций",3
"Все плохо работает",1
"Лучшее приложение в своем роде",5
"Работает как надо",4
"Ожидал худшего, но норм",3
"Раздражающие всплывающие окна",2
"Удобно и современно",4
"Работает нестабильно",2
"Отличный сервис",5
"Постоянные ошибки",1
"Все устраивает",4
"Средне, но пользоваться можно",3
"Очень доволен",5
"Плохой интерфейс",1
"Вроде работает",3
"Все супер",5
"Слишком сложно",2
"Хорошее приложение",4
"Не рекомендую",1
"Неплохой вариант",3
"Идеально!",5
"Слишком медленно",1
"Работает приемлемо",3
"Очень качественно",5
"Баги встречаются часто",2
"Хороший выбор",4
